composer	composer_first	work_group	work catalogue	opus	no	mov	title	composition	publication	source	display_year	Fbb	Cbb	Gbb	Dbb	Abb	Ebb	Bbb	Fb	Cb	Gb	Db	Ab	Eb	Bb	F	C	G	D	A	E	B	F#	C#	G#	D#	A#	E#	B#	F##	C##	G##	D##	A##	E##	B##
Alkan	Charles Valentin	Trois morceaux dans le genre pathétique	Op.	15	1		Aime-moi		1837.0	MS	1837.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	151.0	108.0	139.0	93.0	182.0	111.0	39.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin	Trois morceaux dans le genre pathétique	Op.	15	2		Le Vent		1837.0	MS	1837.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	85.0	87.0	123.0	118.0	96.0	118.0	58.0	14.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin	Trois morceaux dans le genre pathétique	Op.	15	3		Morte		1837.0	MS	1837.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	288.0	223.0	390.0	128.0	367.0	145.0	121.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin	Scherzi di bravoure 	Op.	16	3		Etude de Bravour		1837.0	MS	1837.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	159.0	138.0	117.0	122.0	133.0	103.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin	Étude de Concert	Op.	17			Le Preux		1844.0	MS	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	76.0	137.0	181.0	157.0	161.0	61.0	12.0	24.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin		Op.	23			Sartarelle		1844.0	MS	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.0	102.0	151.0	264.0	180.0	193.0	65.0	1.0	59.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin	Gigue et Air de Ballet	Op.	24	1		Gigue		1844.0	MS	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	4.0	19.0	33.0	19.0	32.0	4.0	1.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin		Op.	25			Alleluia		1844.0	MS	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	25.0	26.0	99.0	68.0	62.0	44.0	24.0	23.0	19.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin		Op.	26			Marche Funèbre		1844.0	MS	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	21.0	32.0	44.0	48.0	32.0	29.0	9.0	10.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkan	Charles Valentin		Op.	27			Marche Triomphale		1844.0	MS	1844.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	46.0	54.0	46.0	39.0	43.0	24.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
