composer	composer_first	work_group	work_catalogue	opus	no	mov	title	composition	publication	source	display_year	Fbb	Cbb	Gbb	Dbb	Abb	Ebb	Bbb	Fb	Cb	Gb	Db	Ab	Eb	Bb	F	C	G	D	A	E	B	F#	C#	G#	D#	A#	E#	B#	F##	C##	G##	D##	A##	E##	B##
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	860	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	16	151	285	271	234	264	236	222	96	15	16	20	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	13		3.0	Piano Sonata No. 8	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	3	8	44	175	306	181	285	419	422	304	51	57	161	32	4	0	0	5	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	90		2.0	Piano Sonata No. 27	1814.0		MS	1814.0	0	0	0	0	0	0	0	0	0	0	1	10	11	5	44	69	59	91	403	581	857	558	367	468	345	120	40	38	3	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	16			1846.0		MS	1846.0	0	0	0	0	0	0	0	0	0	0	0	32	72	77	93	87	125	132	62	20	17	5	8	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	1	1.0	Piano Sonata No. 1	1795.0		MS	1795.0	0	0	0	0	0	0	0	11	6	20	150	179	161	168	254	358	190	48	17	93	41	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	1	2.0	Piano Sonata No. 1	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	0	4	2	6	137	227	266	190	133	173	161	48	13	17	8	3	1	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	1	3.0	Piano Sonata No. 1	1795.0		MS	1795.0	0	0	0	0	0	0	0	1	0	2	38	56	27	83	88	112	78	28	62	41	18	2	2	2	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	1	4.0	Piano Sonata No. 1	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	22	228	389	351	252	372	670	481	118	36	168	111	20	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	27	2	1.0	Piano Sonata No. 14	1801.0		MS	1801.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	35	21	99	136	112	163	201	228	87	10	15	62	5	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	49	2	1.0	Piano Sonata No. 20		1805.0	MS	1805.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	139	273	335	259	144	231	175	46	12	13	4	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	49	2	2.0	Piano Sonata No. 20		1805.0	MS	1805.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	164	206	347	127	108	140	118	48	6	8	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	79		2.0	Piano Sonata No. 25	1809.0		MS	1809.0	0	0	0	0	0	0	0	0	0	0	0	40	86	158	72	105	127	141	55	0	5	24	3	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	79		1.0	Piano Sonata No. 25	1809.0		MS	1809.0	0	0	0	0	0	0	0	0	0	0	0	14	42	55	34	189	368	348	274	182	265	173	77	53	13	1	1	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	79		3.0	Piano Sonata No. 25	1809.0		MS	1809.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	61	163	205	230	146	179	172	100	34	4	7	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	861	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	17	62	113	38	163	155	117	116	14	19	23	5	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	2	2.0	Piano Sonata No. 17	1802.0		MS	1802.0	0	0	0	0	0	0	0	0	13	32	9	22	141	391	323	292	100	194	137	46	19	11	3	4	1	0	0	3	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	2	1.0	Piano Sonata No. 17	1802.0		MS	1802.0	0	0	0	0	0	0	0	0	0	0	3	2	25	137	269	149	225	420	637	375	178	106	272	142	33	4	33	5	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	861	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	15	78	96	69	97	134	126	90	28	14	30	7	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	3	1.0	Piano Sonata No. 3	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	0	12	127	94	99	426	664	784	673	389	518	404	248	123	38	41	6	12	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	3	2.0	Piano Sonata No. 3	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	14	77	119	79	176	235	278	152	95	110	110	40	7	11	4	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	3	3.0	Piano Sonata No. 3	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	2	20	35	25	20	69	200	188	127	103	147	129	52	13	20	7	2	1	1	0	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	17			1846.0		MS	1846.0	0	0	0	0	0	0	0	19	0	0	78	146	100	79	110	118	70	80	61	142	84	32	60	72	70	9	9	8	9	0	0	0	0	0	0
Chopin	Frédéric	Nocturnes	Op.	27	2		2 Nocturnes	1836.0		MS	1836.0	0	0	0	0	1	3	37	14	39	219	258	227	214	157	259	88	29	60	50	73	21	31	45	33	21	4	1	8	0	1	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	862	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	5	64	125	125	103	80	79	87	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	3	4.0	Piano Sonata No. 3	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	0	6	47	89	110	384	651	722	661	407	472	423	177	57	40	40	10	1	0	0	1	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	862	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	18	105	137	137	127	141	122	101	20	9	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	13		1.0	Piano Sonata No. 8	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	3	88	109	448	555	381	497	739	686	379	166	165	182	113	37	0	8	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	49	1	1.0	Piano Sonata No. 19		1805.0	MS	1805.0	0	0	0	0	0	0	0	0	0	0	0	36	105	196	115	154	210	288	125	17	25	82	16	8	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	18			1846.0		MS	1846.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	18	111	169	40	95	283	265	66	34	74	59	35	4	4	3	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	49	1	2.0	Piano Sonata No. 19		1805.0	MS	1805.0	0	0	0	0	0	0	0	0	0	3	2	0	82	123	135	256	275	511	264	83	183	97	30	14	3	1	1	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	863	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	62	72	65	90	89	81	74	29	12	19	8	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	863	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	65	80	88	99	131	143	105	36	30	35	17	7	1	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	2	1.0	Piano Sonata No. 2	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	0	28	81	64	104	169	244	210	299	414	504	343	175	177	227	82	10	2	1	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	2	2.0	Piano Sonata No. 2	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	0	0	0	9	19	29	25	137	265	310	146	113	168	145	86	12	7	7	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	2	3.0	Piano Sonata No. 2	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	33	27	61	90	110	82	24	40	70	39	13	5	0	12	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	2	2	4.0	Piano Sonata No. 2	1795.0		MS	1795.0	0	0	0	0	0	0	0	0	0	0	0	1	19	53	102	146	102	292	549	729	483	235	377	285	109	52	9	6	0	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	19			1846.0		MS	1846.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	6	38	133	76	16	21	85	27	7	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	26		1.0	Piano Sonata No. 12	1801.0		MS	1801.0	0	0	0	0	0	0	28	32	40	33	256	663	911	347	279	394	310	102	46	21	18	10	1	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	26		2.0	Piano Sonata No. 12	1801.0		MS	1801.0	0	0	0	0	0	0	0	2	3	24	100	114	71	103	70	99	84	20	17	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	26		3.0	Piano Sonata No. 12	1801.0		MS	1801.0	0	0	0	0	0	0	19	41	139	39	107	277	397	133	36	55	89	106	28	44	72	152	34	0	0	20	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	26		4.0	Piano Sonata No. 12	1801.0		MS	1801.0	0	0	0	0	0	0	0	12	3	2	146	270	430	340	202	296	313	145	28	42	28	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	109		1.0	Piano Sonata No. 30	1820.0		MS	1820.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	2	13	114	224	317	211	147	246	216	80	33	24	29	5	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	109		2.0	Piano Sonata No. 30	1820.0		MS	1820.0	0	0	0	0	0	0	0	0	0	0	1	3	6	15	34	122	196	102	128	208	332	230	61	17	58	43	4	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	109		3.0	Piano Sonata No. 30	1820.0		MS	1820.0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	54	57	72	493	633	1452	572	1038	544	421	107	62	20	53	4	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	864	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	69	104	88	82	97	82	72	18	2	8	1	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	864	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	153	196	177	179	188	177	136	34	13	17	0	0	0	0	0	0	0	0
Chopin	Frédéric	Nocturnes	Op.	48	1		2 Nocturnes	1841.0		MS	1841.0	0	0	0	0	0	0	0	0	0	25	41	286	300	119	336	516	633	371	124	178	155	62	42	23	50	12	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	20			1846.0		MS	1846.0	0	0	0	0	0	0	0	0	0	0	0	0	8	108	171	64	141	226	235	171	39	82	86	2	0	0	8	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	1	1.0	Piano Sonata No. 5	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	10	30	49	151	294	198	279	380	370	184	55	62	108	18	1	0	0	0	1	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	865	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	62	77	63	73	110	98	57	31	20	31	11	1	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	865	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	5	57	232	298	278	358	379	398	287	96	72	63	25	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	1	3.0	Piano Sonata No. 5	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	4	22	24	219	259	138	218	364	308	181	46	75	169	34	11	0	1	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	21			1846.0		MS	1846.0	0	0	0	0	0	0	0	0	0	0	0	0	35	158	55	19	15	56	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	53		1.0	Piano Sonata No. 21	1803.0		MS	1803.0	0	0	0	0	0	0	0	0	9	33	88	159	187	232	611	928	876	638	649	818	813	274	144	239	181	45	3	22	6	2	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	53		2.0	Piano Sonata No. 21	1803.0		MS	1803.0	0	0	0	0	0	0	0	0	0	0	4	13	0	29	102	72	49	40	44	52	66	11	5	14	15	2	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	866	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	2	3	3	11	41	91	127	83	66	101	76	23	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	53		3.0	Piano Sonata No. 21	1803.0		MS	1803.0	0	0	0	0	0	0	0	0	8	47	160	290	292	130	683	1233	1760	831	827	736	609	105	21	33	26	6	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	866	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	17	107	144	128	149	121	140	106	22	12	20	2	0	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	22			1846.0		MS	1846.0	0	0	0	0	0	4	0	6	41	76	32	58	113	126	68	11	39	55	12	9	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	1		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32	82	91	36	53	59	26	5	3	3	8	3	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	10		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	30	31	14	38	66	81	41	4	0	10	2	2	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	11		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	53	99	35	29	48	25	5	0	3	2	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	12		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	38	48	33	48	125	204	98	86	155	218	97	26	8	32	13	9	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	13		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	83	180	160	126	101	130	75	22	13	5	2	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	14		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	6	8	4	48	62	30	20	70	58	46	16	12	26	14	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	15		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	2	10	48	100	234	68	42	109	40	4	4	8	69	109	18	91	514	94	12	2	27	2	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	16		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	10	13	11	115	144	66	170	138	186	126	24	32	72	53	15	9	5	3	3	2	1	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	17		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	26	47	27	200	324	432	256	154	150	196	38	76	104	121	74	72	107	54	28	25	12	7	2	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	18		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	8	0	0	7	19	55	50	31	53	90	115	68	14	19	27	17	4	0	2	1	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	19		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	4	2	22	32	48	80	243	265	142	85	124	78	42	16	24	16	8	5	1	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	2		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	10	22	45	41	55	49	45	25	13	5	19	8	4	0	0	8	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	20		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	11	30	35	6	25	59	53	31	8	3	19	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	21		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	12	10	110	67	15	106	158	100	50	62	67	61	31	10	10	6	4	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	22		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	3	56	31	79	74	31	101	119	55	74	7	10	35	8	0	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	23		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	2	23	108	143	78	53	83	31	15	2	0	2	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	24		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	4	36	37	18	60	189	141	129	201	283	152	86	36	10	36	11	1	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	3		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	61	135	131	124	77	103	24	8	0	1	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	4		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	4	14	4	24	78	45	37	80	122	98	51	6	14	22	6	0	0	0	0	1	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	5		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	2	9	54	66	105	59	55	49	44	12	4	13	7	0	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	6		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	41	80	4	28	106	66	33	3	0	22	2	0	1	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	7		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	31	45	16	12	29	11	2	5	0	2	0	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	8		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	1	3	20	39	40	21	56	85	83	101	43	44	161	160	64	125	195	328	119	39	36	38	13	5	0	0	0	0	0	0
Chopin	Frédéric	Préludes	Op.	28	9		24 Préludes	1839.0		MS	1839.0	0	0	0	0	0	0	0	2	1	0	5	6	7	21	15	22	32	19	30	64	75	32	27	23	33	4	0	0	0	1	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	867	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	1	63	93	40	95	154	135	112	34	12	54	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	867	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	8	14	78	99	76	129	132	126	87	21	21	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	1	1.0	Piano Sonata No. 16	1802.0		MS	1802.0	0	0	0	0	0	0	0	0	0	0	0	9	50	66	126	303	511	775	396	267	469	507	142	42	61	68	25	2	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	1	2.0	Piano Sonata No. 16	1802.0		MS	1802.0	0	0	0	0	0	0	0	0	0	0	109	175	175	176	536	953	892	733	309	550	336	97	65	21	23	4	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	23			1846.0		MS	1846.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	42	60	101	52	49	77	43	20	7	2	1	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	31	1	3.0	Piano Sonata No. 16	1802.0		MS	1802.0	0	0	0	0	0	0	0	0	0	0	10	35	146	94	93	301	763	1028	481	324	448	288	209	42	18	15	13	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	57		1.0	Piano Sonata No. 23	1805.0		MS	1805.0	0	0	0	0	0	0	12	123	94	186	679	887	544	567	770	1214	671	161	184	519	144	64	28	48	18	13	1	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	57		2.0	Piano Sonata No. 23	1805.0		MS	1805.0	0	0	0	0	0	0	3	0	0	205	307	373	188	85	194	138	24	0	10	17	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	57		3.0	Piano Sonata No. 23	1805.0		MS	1805.0	0	0	0	0	0	0	0	0	23	168	329	597	276	471	816	1116	498	106	136	264	123	17	0	0	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	868	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	45	71	50	59	66	58	55	8	0	11	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	868	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	99	136	135	143	115	135	90	23	8	2	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	24			1846.0		MS	1846.0	0	0	0	0	0	0	0	0	1	2	1	2	2	9	13	100	214	103	179	347	337	250	153	83	150	87	36	18	11	6	4	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	869	1			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	80	98	92	102	122	130	99	30	13	28	13	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier I	BWV	869	2			1722.0		MS	1722.0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	12	43	137	212	198	219	306	301	223	118	60	77	52	12	1	0	0	0	0	0	0
Alkan	Charles Valentin	Préludes	Op.	31	25			1846.0		MS	1846.0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	59	128	120	59	44	65	44	6	0	4	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	870	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	1	4	13	54	116	117	150	159	142	126	49	27	26	10	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	870	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	3	0	11	148	180	168	162	111	161	105	30	5	13	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	1			1861.0		MS	1861.0	0	0	0	0	0	0	0	0	0	0	1	7	1	12	52	68	63	66	49	65	39	4	12	14	2	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	871	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	1	18	81	99	73	112	103	107	70	10	19	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	871	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	1	11	51	80	55	84	139	110	76	29	17	41	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	2			1861.0		MS	1861.0	0	0	0	0	0	2	6	1	16	22	94	159	75	95	225	155	119	22	12	60	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Ballads	Op.	52	4			1842.0		MS	1842.0	0	0	0	0	0	5	12	92	64	323	674	647	605	673	767	817	476	199	307	307	102	59	78	44	10	5	6	0	2	3	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	872	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	32	85	137	160	146	97	107	72	26	14	8	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	872	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	14	124	146	130	127	94	128	73	13	9	5	0	0	0	0
Isaac	Henricus						A la battaglia	1517.0		ELVIS	1517.0	0	0	0	0	0	0	0	0	0	0	0	0	23	177	379	352	314	166	240	141	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Busnoys	Antoine						A qui vens tu tes coquilles	1475.0		ELVIS	1475.0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	60	32	27	61	46	45	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Busnoys	Antoine						Une dame j'ay fait veu	1475.0		ELVIS	1475.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	60	38	40	109	50	70	24	0	9	1	0	0	0	0	0	0	0	0	0	0	0
Busnoys	Antoine						Une dame j'ay fait veu	1480.0		ELVIS	1480.0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	62	41	40	108	53	73	26	0	9	1	0	0	0	0	0	0	0	0	0	0	0
Busnoys	Antoine						A vous sans autre me viens rendre	1475.0		ELVIS	1475.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	54	33	75	63	66	32	2	2	5	0	0	0	0	0	0	0	0	0	0	0
Ravel	Maurice		M.	63	1		À la manière de Borodin	1912.0	1914.0	MS	1912.0	0	0	0	0	0	2	6	8	32	72	90	117	60	132	102	38	14	12	22	8	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Ravel	Maurice		M.	63	2		À la manière de Chabrier	1912.0	1914.0	MS	1912.0	0	0	0	0	0	0	0	0	0	0	0	4	14	36	91	77	194	84	54	102	57	35	14	16	6	3	6	1	0	0	0	0	0	0	0
Dufay	Guillaume						Ad cenam agni providi I	1474.0		ELVIS	1474.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	26	29	30	36	28	33	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
