composer	composer_first	work_group	work_catalogue	opus	no	mov	title	composition	publication	source	display_year	Fbb	Cbb	Gbb	Dbb	Abb	Ebb	Bbb	Fb	Cb	Gb	Db	Ab	Eb	Bb	F	C	G	D	A	E	B	F#	C#	G#	D#	A#	E#	B#	F##	C##	G##	D##	A##	E##	B##
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	874	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	23	95	153	146	142	141	124	90	31	4	8	6	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	54		1.0	Piano Sonata No. 22	1804.0		MS	1804.0	0	0	0	0	0	0	0	0	0	6	113	76	108	351	541	466	360	302	311	300	106	11	70	19	1	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	54		2.0	Piano Sonata No. 22	1804.0		MS	1804.0	0	0	0	0	0	3	22	8	19	49	113	133	110	197	402	389	297	194	228	210	96	37	45	28	17	3	2	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	78		1.0	Piano Sonata No. 24	1809.0		MS	1809.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	38	34	87	270	386	371	296	228	212	163	58	35	18	8	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	5			1861.0		MS	1861.0	0	0	0	0	0	0	0	0	8	11	39	21	12	72	46	76	62	57	122	196	203	99	98	100	64	12	1	2	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	78		2.0	Piano Sonata No. 24	1809.0		MS	1809.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	33	6	48	91	61	198	334	290	157	161	197	131	36	24	12	4	10	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	875	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	3	0	14	91	115	79	153	195	185	118	49	24	52	13	0	0	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Ballads	Op.	47				1841.0		MS	1841.0	0	0	0	0	0	0	4	35	31	51	258	559	578	291	398	693	417	196	127	255	212	97	131	256	69	37	7	22	7	3	0	0	0	0	0
Koželuh	Leopold	Piano Sonata	Op.	8	2	1	Allegro maestoso	1784.0		DB	1784.0	0	0	0	0	0	0	0	0	0	0	6	11	14	139	335	405	353	185	263	212	66	11	28	7	3	0	0	0	0	0	0	0	0	0	0
Koželuh	Leopold	Piano Sonata	Op.	8	2	2	Rondo - Andante	1784.0		DB	1784.0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	76	141	147	98	77	123	67	34	12	6	8	0	0	0	0	0	0	0	0	0	0
Koželuh	Leopold	Piano Sonata	Op.	8	2	3b	Aria con variatione	1784.0		DB	1784.0	0	0	0	0	0	0	0	0	0	0	0	0	2	296	496	683	366	153	417	243	12	13	2	18	0	0	0	0	0	0	0	0	0	0	0
Händel	Georg Friedrich	Funeral Anthem for Queen Caroline	HWV	264		11	The people will tell		1737.0	KPM	1737.0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	112	76	108	185	186	154	44	14	55	16	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	875	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	11	69	104	59	118	133	131	109	31	15	42	9	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	7		1.0	Piano Sonata No. 4	1797.0		MS	1797.0	0	0	0	0	0	0	0	12	38	39	84	330	687	661	569	385	469	450	234	145	95	62	40	7	1	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	7		2.0	Piano Sonata No. 4	1797.0		MS	1797.0	0	0	0	0	0	0	0	0	2	15	37	93	50	48	133	234	283	205	117	123	91	57	29	2	0	2	0	0	0	0	0	0	0	0	0
Chopin	Frédéric	Ballads	Op.	38				1839.0		MS	1839.0	0	0	0	0	0	0	0	21	48	27	44	83	173	289	487	588	309	425	630	486	263	117	65	89	69	6	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	7		3.0	Piano Sonata No. 4	1797.0		MS	1797.0	0	0	0	0	0	0	0	11	75	115	68	141	304	335	202	57	81	107	22	15	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	6			1861.0		MS	1861.0	0	0	0	0	0	0	0	0	0	0	0	0	25	25	96	116	76	104	187	136	97	38	23	43	17	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	7		4.0	Piano Sonata No. 4	1797.0		MS	1797.0	0	0	0	0	0	0	0	1	2	1	18	303	553	766	469	399	496	325	107	82	146	39	24	7	10	2	0	1	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	876	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	1	1	4	21	95	146	161	108	105	129	111	36	5	10	9	3	0	0	0	0	0	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	876	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	1	12	81	111	127	104	85	115	83	21	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkan	Charles Valentin	Esquisses	Op.	63	7			1861.0		MS	1861.0	0	0	0	0	0	0	0	0	0	8	0	7	25	52	43	25	28	74	94	7	39	189	236	46	23	54	23	16	0	3	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	2	1.0	Piano Sonata No. 6	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	0	0	30	51	57	198	380	496	381	301	303	241	140	82	47	17	8	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	2	2.0	Piano Sonata No. 6	1798.0		MS	1798.0	0	0	0	0	0	0	7	0	15	54	168	190	118	141	206	196	107	12	26	77	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	2	3.0	Piano Sonata No. 6	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	0	7	73	49	69	194	277	327	216	182	239	153	51	36	32	12	6	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	3	1.0	Piano Sonata No. 7	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	0	0	0	31	41	193	106	77	337	654	535	404	311	347	346	126	54	42	19	9	1	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	3	2.0	Piano Sonata No. 7	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	0	23	0	8	72	218	252	149	195	342	269	246	81	44	112	67	25	0	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	3	3.0	Piano Sonata No. 7	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	24	107	116	149	79	117	75	41	8	19	6	1	0	0	0	1	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	10	3	4.0	Piano Sonata No. 7	1798.0		MS	1798.0	0	0	0	0	0	0	0	0	0	7	16	30	51	135	83	49	282	418	276	172	186	198	205	67	16	52	9	2	0	0	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	877	1			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	78	120	96	122	132	156	119	47	24	40	26	2	0	0	0
Chopin	Frédéric	Nocturnes	Op.	27	1		2 Nocturnes	1836.0		MS	1836.0	0	0	0	0	0	0	18	5	9	32	53	106	50	11	45	62	34	72	138	102	68	94	330	265	44	14	30	56	21	2	0	0	0	0	0
Bach	Johann Sebastian	Wohltemperiertes Klavier II	BWV	877	2			1740.0		MS	1740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	29	82	113	106	164	183	169	127	37	37	43	14	1	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	14	1	1.0	Piano Sonata No. 9	1799.0		MS	1799.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	105	85	57	252	542	597	287	153	240	225	90	25	18	7	3	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	14	1	2.0	Piano Sonata No. 9	1799.0		MS	1799.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	105	99	52	62	186	119	38	5	16	56	11	0	0	0	0	0	0	0	0	0
Beethoven	Ludwig van	Piano Sonatas	Op.	14	1	3.0	Piano Sonata No. 9	1799.0		MS	1799.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	20	81	90	100	273	282	336	207	96	144	146	37	8	3	3	0	1	0	0	0	0
